
          ---- Aqueous concentrations vs. grid blocks at specified times ----

   Unit: 
    - Aqueous species: Total concencentrations in mol/L     
    - Component in dry nodes in mol/L medium

VARIABLES =X,        Y,       Z,  P(bar)  ,      Sg,       Sl  ,     T(C)  ,  aH2O,    pH     ,t_tracer   ,
ZONE T= "0.100000E+00 d"  F=POINT
    137.200    156.400     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.1059E-09
    137.500   -200.000     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.8930E-10
    139.500    -75.310     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.895  1.0000  5.6452  0.1505E-07
    144.200   -124.600     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.2558E-09
    155.700    114.500     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.1318E-09
    156.400      2.809     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.5156E-08
    157.000     71.550     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.1527E-08
    162.300    165.100     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.8924E-10
    164.000   -158.800     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.9073E-10
    166.900    -41.290     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.1358E-08
    172.900     40.890     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.9846E-09
    180.600    138.900     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.8973E-10
    181.900    -98.140     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.2002E-09
    200.000   -200.000     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.8924E-10
    200.000   -158.800     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.8975E-10
    200.000    -98.140     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.8931E-10
    200.000    -41.290     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.9731E-10
    200.000      0.000     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.1261E-09
