0.4410E+02 -.1886E+03 0.0000E+00   0.300352E+08     193.500000
0.5018E+02 0.3608E+02 0.0000E+00   0.300352E+08     193.500000
0.5160E+02 0.1037E+03 0.0000E+00   0.300352E+08     193.500000
0.5350E+02 -.6671E+02 0.0000E+00   0.300352E+08     193.500000
0.5490E+02 -.1027E+03 0.0000E+00   0.300352E+08     193.500000
0.5560E+02 0.1204E+03 0.0000E+00   0.300352E+08     193.500000
0.5562E+02 -.8589E+02 0.0000E+00   0.300352E+08     193.500000
0.5603E+02 0.1679E+03 0.0000E+00   0.300352E+08     193.500000
0.5604E+02 -.2000E+03 0.0000E+00   0.300352E+08     193.500000
0.5663E+02 0.1855E+03 0.0000E+00   0.300352E+08     193.500000
0.6114E+02 -.1407E+03 0.0000E+00   0.300352E+08     193.500000
0.6215E+02 0.6046E+02 0.0000E+00   0.300352E+08     193.500000
0.6389E+02 0.8419E+02 0.0000E+00   0.300352E+08     193.500000
0.6422E+02 -.1601E+03 0.0000E+00   0.300352E+08     193.500000
0.6625E+02 -.1565E+02 0.0000E+00   0.300352E+08     193.500000
0.6695E+02 -.1179E+03 0.0000E+00   0.300352E+08     193.500000
0.6715E+02 -.1826E+03 0.0000E+00   0.300352E+08     193.500000
0.6736E+02 -.4503E+02 0.0000E+00   0.300352E+08     193.500000
0.6838E+02 0.2000E+03 0.0000E+00   0.300352E+08     193.500000
0.6997E+02 0.2264E+02 0.0000E+00   0.300352E+08     193.500000
0.7058E+02 0.1494E+03 0.0000E+00   0.300352E+08     193.500000
0.7074E+02 0.1308E+03 0.0000E+00   0.300352E+08     193.500000
0.7369E+02 0.4058E+02 0.0000E+00   0.300352E+08     193.500000
0.7824E+02 -.7030E+02 0.0000E+00   0.300352E+08     193.500000
0.8041E+02 0.1767E+03 0.0000E+00   0.300352E+08     193.500000
0.8227E+02 0.6369E+01 0.0000E+00   0.300352E+08     193.500000
0.8347E+02 -.9489E+02 0.0000E+00   0.300352E+08     193.500000
